变量名,attrType1,attrNum1,qualityNum,attrType2,attrNum2,attrType6,attrNum6,attrType4,attrType3,attrType5,attrNum4,attrNum3,attrNum5,gemQualitySeqID
默认值,0,,100,0,,0,,0,0,0,,,,1
ID,属性类型1,属性数值1,品质数值,属性类型2,属性数值2,属性类型6,属性数值6,属性类型4,属性类型3,属性类型5,属性数值4,属性数值3,属性数值5,宝石品质序列ID
1,1,1%,,,,,,,,,,,,
2,7,1%,200,8,1%,,,,,,,,,
3,1,1%,300,13,1%,10,1%,9,7,8,1%,1%,1%,
4,1,2%,400,,,,,,,,,,,
5,7,2%,500,8,2%,,,,,,,,,
6,1,2%,600,13,2%,10,2%,9,7,8,2%,2%,2%,
7,1,2%,750,,,,,,,,,,,
8,7,2%,900,8,2%,,,,,,,,,
9,1,2%,1050,13,2%,10,2%,9,7,8,2%,2%,2%,
10,1,3%,1200,,,,,,,,,,,
11,7,3%,1350,8,3%,,,,,,,,,
12,1,3%,1500,13,3%,10,3%,9,7,8,3%,3%,3%,
13,1,4%,1650,,,,,,,,,,,
14,7,4%,1800,8,4%,,,,,,,,,
15,1,4%,1950,13,4%,10,4%,9,7,8,4%,4%,4%,
16,1,5%,2200,,,,,,,,,,,
17,7,5%,2450,8,5%,,,,,,,,,
18,1,5%,2700,13,5%,10,5%,9,7,8,5%,5%,5%,
19,1,5%,2950,,,,,,,,,,,
20,7,5%,3200,8,5%,,,,,,,,,
21,1,6%,3500,13,6%,10,6%,9,7,8,6%,6%,6%,
101,1,1%,,,,,,,,,,,,2
102,7,1%,200,8,1%,,,,,,,,,2
103,1,1%,300,13,1%,10,1%,9,7,8,1%,1%,1%,2
104,1,2%,400,,,,,,,,,,,2
105,7,2%,500,8,2%,,,,,,,,,2
106,1,2%,600,13,2%,10,2%,9,7,8,2%,2%,2%,2
107,1,2%,750,,,,,,,,,,,2
108,7,2%,900,8,2%,,,,,,,,,2
109,1,2%,1050,13,2%,10,2%,9,7,8,2%,2%,2%,2
110,1,3%,1200,,,,,,,,,,,2
111,7,3%,1350,8,3%,,,,,,,,,2
112,1,3%,1500,13,3%,10,3%,9,7,8,3%,3%,3%,2
113,1,4%,1650,,,,,,,,,,,2
114,7,4%,1800,8,4%,,,,,,,,,2
115,1,4%,1950,13,4%,10,4%,9,7,8,4%,4%,4%,2
116,1,5%,2200,,,,,,,,,,,2
117,7,5%,2450,8,5%,,,,,,,,,2
118,1,5%,2700,13,5%,10,5%,9,7,8,5%,5%,5%,2
119,1,5%,2950,,,,,,,,,,,2
120,7,5%,3200,8,5%,,,,,,,,,2
121,1,6%,3500,13,6%,10,6%,9,7,8,6%,6%,6%,2
201,1,1%,,,,,,,,,,,,3
202,7,1%,200,8,1%,,,,,,,,,3
203,1,1%,300,13,1%,10,1%,9,7,8,1%,1%,1%,3
204,1,2%,400,,,,,,,,,,,3
205,7,2%,500,8,2%,,,,,,,,,3
206,1,2%,600,13,2%,10,2%,9,7,8,2%,2%,2%,3
207,1,2%,750,,,,,,,,,,,3
208,7,2%,900,8,2%,,,,,,,,,3
209,1,2%,1050,13,2%,10,2%,9,7,8,2%,2%,2%,3
210,1,3%,1200,,,,,,,,,,,3
211,7,3%,1350,8,3%,,,,,,,,,3
212,1,3%,1500,13,3%,10,3%,9,7,8,3%,3%,3%,3
213,1,4%,1650,,,,,,,,,,,3
214,7,4%,1800,8,4%,,,,,,,,,3
215,1,4%,1950,13,4%,10,4%,9,7,8,4%,4%,4%,3
216,1,5%,2200,,,,,,,,,,,3
217,7,5%,2450,8,5%,,,,,,,,,3
218,1,5%,2700,13,5%,10,5%,9,7,8,5%,5%,5%,3
219,1,5%,2950,,,,,,,,,,,3
220,7,5%,3200,8,5%,,,,,,,,,3
221,1,6%,3500,13,6%,10,6%,9,7,8,6%,6%,6%,3
301,1,1%,,,,,,,,,,,,4
302,7,1%,200,8,1%,,,,,,,,,4
303,1,1%,300,13,1%,10,1%,9,7,8,1%,1%,1%,4
304,1,2%,400,,,,,,,,,,,4
305,7,2%,500,8,2%,,,,,,,,,4
306,1,2%,600,13,2%,10,2%,9,7,8,2%,2%,2%,4
307,1,2%,750,,,,,,,,,,,4
308,7,2%,900,8,2%,,,,,,,,,4
309,1,2%,1050,13,2%,10,2%,9,7,8,2%,2%,2%,4
310,1,3%,1200,,,,,,,,,,,4
311,7,3%,1350,8,3%,,,,,,,,,4
312,1,3%,1500,13,3%,10,3%,9,7,8,3%,3%,3%,4
313,1,4%,1650,,,,,,,,,,,4
314,7,4%,1800,8,4%,,,,,,,,,4
315,1,4%,1950,13,4%,10,4%,9,7,8,4%,4%,4%,4
316,1,5%,2200,,,,,,,,,,,4
317,7,5%,2450,8,5%,,,,,,,,,4
318,1,5%,2700,13,5%,10,5%,9,7,8,5%,5%,5%,4
319,1,5%,2950,,,,,,,,,,,4
320,7,5%,3200,8,5%,,,,,,,,,4
321,1,6%,3500,13,6%,10,6%,9,7,8,6%,6%,6%,4
401,1,1%,,,,,,,,,,,,5
402,7,1%,200,8,1%,,,,,,,,,5
403,1,1%,300,13,1%,10,1%,9,7,8,1%,1%,1%,5
404,1,2%,400,,,,,,,,,,,5
405,7,2%,500,8,2%,,,,,,,,,5
406,1,2%,600,13,2%,10,2%,9,7,8,2%,2%,2%,5
407,1,2%,750,,,,,,,,,,,5
408,7,2%,900,8,2%,,,,,,,,,5
409,1,2%,1050,13,2%,10,2%,9,7,8,2%,2%,2%,5
410,1,3%,1200,,,,,,,,,,,5
411,7,3%,1350,8,3%,,,,,,,,,5
412,1,3%,1500,13,3%,10,3%,9,7,8,3%,3%,3%,5
413,1,4%,1650,,,,,,,,,,,5
414,7,4%,1800,8,4%,,,,,,,,,5
415,1,4%,1950,13,4%,10,4%,9,7,8,4%,4%,4%,5
416,1,5%,2200,,,,,,,,,,,5
417,7,5%,2450,8,5%,,,,,,,,,5
418,1,5%,2700,13,5%,10,5%,9,7,8,5%,5%,5%,5
419,1,5%,2950,,,,,,,,,,,5
420,7,5%,3200,8,5%,,,,,,,,,5
421,1,6%,3500,13,6%,10,6%,9,7,8,6%,6%,6%,5
