变量名,name,suitID,suitNo,icon,quality,gemDescribe,heapLimit,decomposeReturn,strengthMax,strengthCostSeq,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,desc,effect
默认值,"""""",,,"""""",1,,99,{},120,1,0,<>,0,<>,0,<>,0,<>,0,<>,"""""",{drawcard=false;gain=false}
ID,名称,套装ID,散件编号,icon,品质,符石描述,堆叠上限,分解返还材料,强化等级上限,强化消耗序列ID,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,属性类型4,属性数值4,属性类型5,属性数值5,描述,分别表示在抽卡，恭喜获得
,,,,,,,,,,,,,,,,,,,,,,
40121,强击,1,1,config/item/gem/icon_1_lv_1.png,2,攻击向符石,9999,{529=20},,2,7,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,8,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,14,<22;22;22;22;22;25;25;25;25;25;27;27;27;27;27;30;30;30;30;30;32;32;32;32;32;34;34;34;34;34;37;37;37;37;37;39;39;39;39;39;42;42;42;42;42;44;44;44;44;44;46;46;46;46;46;49;49;49;49;49;51;51;51;51;51;54;54;54;54;54;56;56;56;56;56;58;58;58;58;58;61;61;61;61;61;63;63;63;63;63;66;66;66;66;66;68;68;68;68;68;70;70;70;70;70;73;73;73;73;73;75;75;75;75;75;78;78;78;78;78>,,,,,,
40122,强击,1,2,config/item/gem/icon_1_lv_2.png,2,攻击向符石,9999,{529=20},,2,7,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,8,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,15,<34;34;34;34;34;37;37;37;37;37;41;41;41;41;41;44;44;44;44;44;48;48;48;48;48;52;52;52;52;52;55;55;55;55;55;59;59;59;59;59;62;62;62;62;62;66;66;66;66;66;70;70;70;70;70;73;73;73;73;73;77;77;77;77;77;80;80;80;80;80;84;84;84;84;84;88;88;88;88;88;91;91;91;91;91;95;95;95;95;95;98;98;98;98;98;102;102;102;102;102;106;106;106;106;106;109;109;109;109;109;113;113;113;113;113;116;116;116;116;116>,,,,,,
40123,强击,1,3,config/item/gem/icon_1_lv_3.png,2,攻击向符石,9999,{529=20},,2,1,<1008;1023;1038;1053;1068;1084;1099;1114;1129;1144;1169;1185;1202;1218;1234;1250;1266;1282;1298;1314;1351;1368;1385;1402;1419;1436;1454;1471;1488;1505;1552;1570;1589;1607;1625;1643;1661;1679;1697;1716;1814;1835;1855;1875;1895;1915;1935;1956;1976;1996;2117;2139;2161;2183;2206;2228;2250;2272;2294;2316;2460;2484;2508;2532;2556;2580;2605;2629;2653;2677;2843;2869;2895;2921;2947;2974;3000;3026;3052;3078;3266;3294;3322;3351;3379;3407;3435;3463;3492;3520;3730;3760;3790;3820;3851;3881;3911;3941;3972;4002;4234;4266;4298;4330;4363;4395;4427;4459;4492;4524;4778;4812;4846;4881;4915;4949;4984;5018;5052;5086>,7,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,8,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,11,<22;22;22;22;22;25;25;25;25;25;27;27;27;27;27;30;30;30;30;30;32;32;32;32;32;34;34;34;34;34;37;37;37;37;37;39;39;39;39;39;42;42;42;42;42;44;44;44;44;44;46;46;46;46;46;49;49;49;49;49;51;51;51;51;51;54;54;54;54;54;56;56;56;56;56;58;58;58;58;58;61;61;61;61;61;63;63;63;63;63;66;66;66;66;66;68;68;68;68;68;70;70;70;70;70;73;73;73;73;73;75;75;75;75;75;78;78;78;78;78>,12,<22;22;22;22;22;25;25;25;25;25;27;27;27;27;27;30;30;30;30;30;32;32;32;32;32;34;34;34;34;34;37;37;37;37;37;39;39;39;39;39;42;42;42;42;42;44;44;44;44;44;46;46;46;46;46;49;49;49;49;49;51;51;51;51;51;54;54;54;54;54;56;56;56;56;56;58;58;58;58;58;61;61;61;61;61;63;63;63;63;63;66;66;66;66;66;68;68;68;68;68;70;70;70;70;70;73;73;73;73;73;75;75;75;75;75;78;78;78;78;78>,,
40124,强击,1,4,config/item/gem/icon_1_lv_4.png,2,攻击向符石,9999,{529=20},,2,1,<1008;1023;1038;1053;1068;1084;1099;1114;1129;1144;1169;1185;1202;1218;1234;1250;1266;1282;1298;1314;1351;1368;1385;1402;1419;1436;1454;1471;1488;1505;1552;1570;1589;1607;1625;1643;1661;1679;1697;1716;1814;1835;1855;1875;1895;1915;1935;1956;1976;1996;2117;2139;2161;2183;2206;2228;2250;2272;2294;2316;2460;2484;2508;2532;2556;2580;2605;2629;2653;2677;2843;2869;2895;2921;2947;2974;3000;3026;3052;3078;3266;3294;3322;3351;3379;3407;3435;3463;3492;3520;3730;3760;3790;3820;3851;3881;3911;3941;3972;4002;4234;4266;4298;4330;4363;4395;4427;4459;4492;4524;4778;4812;4846;4881;4915;4949;4984;5018;5052;5086>,7,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,8,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,90,<27;27;27;27;27;30;30;30;30;30;33;33;33;33;33;36;36;36;36;36;38;38;38;38;38;41;41;41;41;41;44;44;44;44;44;47;47;47;47;47;50;50;50;50;50;53;53;53;53;53;56;56;56;56;56;59;59;59;59;59;61;61;61;61;61;64;64;64;64;64;67;67;67;67;67;70;70;70;70;70;73;73;73;73;73;76;76;76;76;76;79;79;79;79;79;82;82;82;82;82;84;84;84;84;84;87;87;87;87;87;90;90;90;90;90;93;93;93;93;93>,,,,
40125,强击,1,5,config/item/gem/icon_1_lv_5.png,2,攻击向符石,9999,{529=20},,2,7,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,8,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,9,<140;142;144;146;148;151;153;155;157;159;162;165;167;169;171;174;176;178;180;183;188;190;192;195;197;200;202;204;207;209;216;218;221;223;226;228;231;233;236;238;252;255;258;260;263;266;269;272;274;277;294;297;300;303;306;309;312;316;319;322;342;345;348;352;355;358;362;365;368;372;395;398;402;406;409;413;417;420;424;428;454;458;461;465;469;473;477;481;485;489;518;522;526;531;535;539;543;547;552;556;588;592;597;601;606;610;615;619;624;628;664;668;673;678;683;687;692;697;702;706>,22,<13;13;13;13;13;15;15;15;15;15;16;16;16;16;16;18;18;18;18;18;19;19;19;19;19;21;21;21;21;21;22;22;22;22;22;24;24;24;24;24;25;25;25;25;25;26;26;26;26;26;28;28;28;28;28;29;29;29;29;29;31;31;31;31;31;32;32;32;32;32;34;34;34;34;34;35;35;35;35;35;36;36;36;36;36;38;38;38;38;38;39;39;39;39;39;41;41;41;41;41;42;42;42;42;42;44;44;44;44;44;45;45;45;45;45;47;47;47;47;47>,,,,
40126,强击,1,6,config/item/gem/icon_1_lv_6.png,2,攻击向符石,9999,{529=20},,2,7,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,8,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,10,<140;142;144;146;148;151;153;155;157;159;162;165;167;169;171;174;176;178;180;183;188;190;192;195;197;200;202;204;207;209;216;218;221;223;226;228;231;233;236;238;252;255;258;260;263;266;269;272;274;277;294;297;300;303;306;309;312;316;319;322;342;345;348;352;355;358;362;365;368;372;395;398;402;406;409;413;417;420;424;428;454;458;461;465;469;473;477;481;485;489;518;522;526;531;535;539;543;547;552;556;588;592;597;601;606;610;615;619;624;628;664;668;673;678;683;687;692;697;702;706>,23,<13;13;13;13;13;15;15;15;15;15;16;16;16;16;16;18;18;18;18;18;19;19;19;19;19;21;21;21;21;21;22;22;22;22;22;24;24;24;24;24;25;25;25;25;25;26;26;26;26;26;28;28;28;28;28;29;29;29;29;29;31;31;31;31;31;32;32;32;32;32;34;34;34;34;34;35;35;35;35;35;36;36;36;36;36;38;38;38;38;38;39;39;39;39;39;41;41;41;41;41;42;42;42;42;42;44;44;44;44;44;45;45;45;45;45;47;47;47;47;47>,,,,
40131,强击,1,1,config/item/gem/icon_1_l_1.png,3,攻击向符石,9999,{529=40},,3,7,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,8,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,14,<34;34;34;34;34;37;37;37;37;37;41;41;41;41;41;44;44;44;44;44;48;48;48;48;48;52;52;52;52;52;55;55;55;55;55;59;59;59;59;59;62;62;62;62;62;66;66;66;66;66;70;70;70;70;70;73;73;73;73;73;77;77;77;77;77;80;80;80;80;80;84;84;84;84;84;88;88;88;88;88;91;91;91;91;91;95;95;95;95;95;98;98;98;98;98;102;102;102;102;102;106;106;106;106;106;109;109;109;109;109;113;113;113;113;113;116;116;116;116;116>,,,,,,
