变量名,costItemMap2,costItemMap3,costItemMap4,costItemMap6,costItemMap5,costItemMap1
默认值,{},{},{},{},{},{}
ID,升级消耗序列1,升级消耗序列2,升级消耗序列3,升级消耗序列4,升级消耗序列5,升级消耗序列6
,,,,,,
1,{gold=600;529=5},{gold=900;529=8},{gold=1320;529=11},{gold=3000;529=25},{gold=2040;529=17},{gold=600;529=5}
2,{gold=600;529=5},{gold=900;529=8},{gold=1320;529=11},{gold=3000;529=25},{gold=2040;529=17},{gold=600;529=5}
3,{gold=1200;529=10},{gold=1800;529=15},{gold=2640;529=22},{gold=6000;529=50},{gold=4080;529=34},{gold=1200;529=10}
4,{gold=1200;529=10},{gold=1800;529=15},{gold=2640;529=22},{gold=6000;529=50},{gold=4080;529=34},{gold=1200;529=10}
5,{gold=1800;529=15},{gold=2700;529=23},{gold=3960;529=33},{gold=9000;529=75},{gold=6120;529=51},{gold=1800;529=15}
6,{gold=1800;529=15},{gold=2700;529=23},{gold=3960;529=33},{gold=9000;529=75},{gold=6120;529=51},{gold=1800;529=15}
7,{gold=2400;529=20},{gold=3600;529=30},{gold=5280;529=44},{gold=12000;529=100},{gold=8160;529=68},{gold=2400;529=20}
8,{gold=2400;529=20},{gold=3600;529=30},{gold=5280;529=44},{gold=12000;529=100},{gold=8160;529=68},{gold=2400;529=20}
9,{gold=3000;529=25},{gold=4500;529=38},{gold=6600;529=55},{gold=15000;529=125},{gold=10200;529=85},{gold=3000;529=25}
10,{gold=3600;529=30},{gold=5400;529=45},{gold=7920;529=66},{gold=18000;529=150},{gold=12240;529=102},{gold=3600;529=30}
11,{gold=4200;529=35},{gold=6300;529=53},{gold=9240;529=77},{gold=21000;529=175},{gold=14280;529=119},{gold=4200;529=35}
12,{gold=4800;529=40},{gold=7200;529=60},{gold=10560;529=88},{gold=24000;529=200},{gold=16320;529=136},{gold=4800;529=40}
13,{gold=6000;529=50},{gold=9000;529=75},{gold=13200;529=110},{gold=30000;529=250},{gold=20400;529=170},{gold=6000;529=50}
14,{gold=6600;529=55},{gold=9900;529=83},{gold=14520;529=121},{gold=33000;529=275},{gold=22440;529=187},{gold=6600;529=55}
15,{gold=7200;529=60},{gold=10800;529=90},{gold=15840;529=132},{gold=36000;529=300},{gold=24480;529=204},{gold=7200;529=60}
16,{gold=8400;529=70},{gold=12600;529=105},{gold=18480;529=154},{gold=42000;529=350},{gold=28560;529=238},{gold=8400;529=70}
17,{gold=9000;529=75},{gold=13500;529=113},{gold=19800;529=165},{gold=45000;529=375},{gold=30600;529=255},{gold=9000;529=75}
18,{gold=9600;529=80},{gold=14400;529=120},{gold=21120;529=176},{gold=48000;529=400},{gold=32640;529=272},{gold=9600;529=80}
19,{gold=9600;529=80},{gold=14400;529=120},{gold=21120;529=176},{gold=48000;529=400},{gold=32640;529=272},{gold=9600;529=80}
20,{gold=10200;529=85},{gold=15300;529=128},{gold=22440;529=187},{gold=51000;529=425},{gold=34680;529=289},{gold=10200;529=85}
21,{gold=10800;529=90},{gold=16200;529=135},{gold=23760;529=198},{gold=54000;529=450},{gold=36720;529=306},{gold=10800;529=90}
22,{gold=10800;529=90},{gold=16200;529=135},{gold=23760;529=198},{gold=54000;529=450},{gold=36720;529=306},{gold=10800;529=90}
23,{gold=11400;529=95},{gold=17100;529=143},{gold=25080;529=209},{gold=57000;529=475},{gold=38760;529=323},{gold=11400;529=95}
24,{gold=11400;529=95},{gold=17100;529=143},{gold=25080;529=209},{gold=57000;529=475},{gold=38760;529=323},{gold=11400;529=95}
25,{gold=11400;529=95},{gold=17100;529=143},{gold=25080;529=209},{gold=57000;529=475},{gold=38760;529=323},{gold=11400;529=95}
26,{gold=11400;529=95},{gold=17100;529=143},{gold=25080;529=209},{gold=57000;529=475},{gold=38760;529=323},{gold=11400;529=95}
27,{gold=12000;529=100},{gold=18000;529=150},{gold=26400;529=220},{gold=60000;529=500},{gold=40800;529=340},{gold=12000;529=100}
28,{gold=12000;529=100},{gold=18000;529=150},{gold=26400;529=220},{gold=60000;529=500},{gold=40800;529=340},{gold=12000;529=100}
29,{gold=12000;529=100},{gold=18000;529=150},{gold=26400;529=220},{gold=60000;529=500},{gold=40800;529=340},{gold=12000;529=100}
30,{gold=12000;529=100},{gold=18000;529=150},{gold=26400;529=220},{gold=60000;529=500},{gold=40800;529=340},{gold=12000;529=100}
31,{gold=12000;529=100},{gold=18000;529=150},{gold=26400;529=220},{gold=60000;529=500},{gold=40800;529=340},{gold=12000;529=100}
32,{gold=12000;529=100},{gold=18000;529=150},{gold=26400;529=220},{gold=60000;529=500},{gold=40800;529=340},{gold=12000;529=100}
33,{gold=12000;529=100},{gold=18000;529=150},{gold=26400;529=220},{gold=60000;529=500},{gold=40800;529=340},{gold=12000;529=100}
34,{gold=12600;529=105},{gold=18900;529=158},{gold=27720;529=231},{gold=63000;529=525},{gold=42840;529=357},{gold=12600;529=105}
35,{gold=12600;529=105},{gold=18900;529=158},{gold=27720;529=231},{gold=63000;529=525},{gold=42840;529=357},{gold=12600;529=105}
36,{gold=12600;529=105},{gold=18900;529=158},{gold=27720;529=231},{gold=63000;529=525},{gold=42840;529=357},{gold=12600;529=105}
37,{gold=12600;529=105},{gold=18900;529=158},{gold=27720;529=231},{gold=63000;529=525},{gold=42840;529=357},{gold=12600;529=105}
38,{gold=13200;529=110},{gold=19800;529=165},{gold=29040;529=242},{gold=66000;529=550},{gold=44880;529=374},{gold=13200;529=110}
39,{gold=13200;529=110},{gold=19800;529=165},{gold=29040;529=242},{gold=66000;529=550},{gold=44880;529=374},{gold=13200;529=110}
40,{gold=13200;529=110},{gold=19800;529=165},{gold=29040;529=242},{gold=66000;529=550},{gold=44880;529=374},{gold=13200;529=110}
41,{gold=13200;529=110},{gold=19800;529=165},{gold=29040;529=242},{gold=66000;529=550},{gold=44880;529=374},{gold=13200;529=110}
42,{gold=13200;529=110},{gold=19800;529=165},{gold=29040;529=242},{gold=66000;529=550},{gold=44880;529=374},{gold=13200;529=110}
