变量名,prop6,prop5,prop4,prop2,board2,monster2,prop3,bg_index,prop1,board1,space,prop7,monster5,board4,monster4,monster3,board5,board3,monster1,__version
默认值,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
ID,prop6,prop5,prop4,prop2,board2,monster2,prop3,bg_index,prop1,board1,space,prop7,monster5,board4,monster4,monster3,board5,board3,monster1,__version
1,,,,,,,,3,1,500,1,,,,,,,,,
2,,,,,,1,1,3,1,500,1,,,,,,,,,
3,,1,1,1,100,1,1,3,,500,1,,,,,,,,,
4,1,1,,,100,,,3,,500,1,,,,,,,,1,
5,,,1,1,100,,2,3,,500,1,,,,,,,,,
6,,1,2,,100,1,,3,1,500,2,,,,,,100,200,,
7,,,1,1,,,1,3,,150,4,,,,,,100,,1,
8,2,,,,100,,1,3,,500,2,,,,,1,100,200,,
9,,,,,100,,1,3,2,500,2,,,,,,100,200,1,
10,,,1,,100,1,1,3,,500,2,,,,1,,100,200,,
11,1,1,,,,,,3,,,3,,,,,,100,300,1,
12,,,,,200,,1,3,1,,3,,,,,1,100,300,1,
13,,1,1,1,,,1,3,,150,4,,,,,,100,,,
14,1,,1,,100,1,2,3,2,500,3,,,300,,,100,200,,
15,,,1,1,200,,1,3,,,2,,,300,,,100,200,1,
16,,1,2,1,200,,,3,2,100,3,,,300,,1,100,,1,
17,,,1,1,200,1,2,3,,,3,,,300,1,,100,200,,
18,1,,1,,200,,1,3,,,3,,,300,,,200,,1,
19,,,,,200,,,3,2,300,3,,,100,,1,200,200,1,
20,,,1,,,,1,3,,,2,,,100,,,200,,,
21,,1,,,100,,,3,,,2,,,100,,,200,,1,
22,1,,,,,1,1,3,,,2,,,100,,,100,,,
23,,,,,200,,,3,,,2,,,100,1,1,200,,,
24,1,,,,,,,3,,,3,,,100,,1,200,,,
25,,,,,200,1,1,3,,200,3,,,100,,,,200,,
26,,1,2,1,,,,3,2,150,4,,,,,,100,,,
27,,,1,1,200,,2,3,,200,3,,,100,,,,200,,
28,1,,2,,200,,1,3,,200,3,,,100,1,,,200,1,
29,,,,,200,,,3,3,200,3,,,100,,,,200,,
30,,,2,,,,1,3,,,3,,,,,1,100,200,,
31,,,,,,,,3,,,3,,,,,,,200,1,
32,,,1,,,,1,3,,,3,,,,,,,200,,
33,,,,,,,,3,,,3,,,,,,,200,1,
34,,,,,,,,3,,,3,,,,,,,200,,
35,,,1,,,,1,3,,,3,,,,,,,200,1,
36,,,,,,,,3,,,3,,,,1,,,300,,
37,,,,,,,,3,,,3,,,,,,,300,1,
38,,,,,,,,3,,,3,,,,,,,300,,
39,,,1,,200,,2,3,,200,3,,,100,,,,300,1,
40,2,1,,1,200,,,3,,200,3,,,100,,1,,300,,
41,,,,,200,,,3,2,,3,,2,100,,,,300,1,
42,,,,,200,1,,3,2,200,3,,,200,,,,300,,
43,,,1,,200,,1,3,,,3,,,200,,1,,300,,
44,,,,,200,,,3,2,200,3,,,200,,,,300,1,
45,,,,,200,1,,3,2,,3,,,200,,,,300,,
46,,,1,,200,,1,3,,200,3,,,200,,1,,300,,
47,,,,,200,,,3,2,,3,,,200,,,,300,1,
48,,,,,200,1,,3,2,200,3,,,200,,,,300,,
49,,,1,,200,,1,4,,,3,,,200,1,1,,300,,
50,,,,,200,,,5,,200,3,,,200,,,,300,1,
