变量名,day,invalidMarkIDs,invalidMegaCardIDs,languages,maxAidNum,maxNum,week
默认值,0,<>,<>,<cn;kr;tw;en;en_us;en_eu>,0,2,0
ID,本期战斗天数（相对天数）,禁用markID（不包含Mega）,禁用Meag卡的card_id,languages,maxAidNum,maxNum,week
101,,<7221;7141;7121;2351>,<1972;1962;763;3243;4104>,<cn>,1,3,1
102,,<7221;7141;7121;2351>,<1972;1962;763;3243;4104>,<cn>,1,3,2
103,,<7221;7141;7121;2351>,<1972;1962;763;3243;4104>,<cn>,1,3,3
104,,<7221;7141;7121;2351>,<1972;1962;763;3243;4104>,<cn>,1,3,4
105,,<7221;7141;7121;2351>,<1972;1962;763;3243;4104>,<cn>,1,3,5
106,,<7221;7141;7121;2351>,<1972;1962;763;3243;4104>,<cn>,1,3,6
107,,<7221;7141;7121;2351>,<1972;1962;763;3243;4104>,<cn>,1,3,7
108,,<7221;7141;7121;2351>,<1972;1962;763;3243;4104>,<cn>,1,3,8
109,,<7221;7141;7121;2351>,<1972;1962;763;3243;4104>,<cn>,1,3,9
110,,<7221;7141;7121;2351>,<1972;1962;763;3243;4104>,<cn>,1,3,10
