变量名,eventID,weight,triggerID
默认值,0,0,0
ID,eventID,weight,triggerID
1,11,100,1
1001,111,100,11
1002,112,50,11
1003,113,30,11
1004,114,20,11
1005,115,200,11
1006,116,200,11
1007,117,200,11
1008,118,200,11
1009,111,100,12
1010,112,50,12
1011,113,30,12
1012,114,20,12
1013,115,200,12
1014,116,200,12
1015,117,200,12
1016,118,200,12
1017,111,100,13
1018,112,50,13
1019,113,30,13
1020,114,20,13
1021,115,200,13
1022,116,200,13
1023,117,200,13
1024,118,200,13
1025,111,100,14
1026,112,50,14
1027,113,30,14
1028,114,20,14
1029,115,200,14
1030,116,200,14
1031,117,200,14
1032,118,200,14
1033,111,100,15
1034,112,50,15
1035,113,30,15
1036,114,20,15
1037,115,200,15
1038,116,200,15
1039,117,200,15
1040,118,200,15
1041,111,100,16
1042,112,50,16
1043,113,30,16
1044,114,20,16
1045,115,200,16
1046,116,200,16
1047,117,200,16
1048,118,200,16
1049,111,100,17
1050,112,50,17
1051,113,30,17
1052,114,20,17
1053,115,200,17
1054,116,200,17
1055,117,200,17
1056,118,200,17
1057,111,100,18
1058,112,50,18
1059,113,30,18
1060,114,20,18
1061,115,200,18
1062,116,200,18
1063,117,200,18
1064,118,200,18
1100,121,100,19
1200,221,100,29
2001,211,250,21
2002,212,100,21
2003,213,50,21
2004,214,50,21
2005,215,50,21
2006,216,250,21
2007,217,250,21
2008,211,250,22
2009,212,100,22
2010,213,50,22
2011,214,50,22
2012,215,50,22
2013,216,250,22
2014,217,250,22
2015,211,250,23
2016,212,100,23
2017,213,50,23
2018,214,50,23
2019,215,50,23
2020,216,250,23
2021,217,250,23
2022,211,250,24
2023,212,100,24
2024,213,50,24
2025,214,50,24
2026,215,50,24
2027,216,250,24
2028,217,250,24
2029,211,250,25
2030,212,100,25
2031,213,50,25
2032,214,50,25
2033,215,50,25
2034,216,250,25
2035,217,250,25
2036,211,250,26
2037,212,100,26
2038,213,50,26
2039,214,50,26
2040,215,50,26
2041,216,250,26
2042,217,250,26
2043,211,250,27
2044,212,100,27
2045,213,50,27
2046,214,50,27
2047,215,50,27
2048,216,250,27
2049,217,250,27
2050,211,250,28
2051,212,100,28
2052,213,50,28
2053,214,50,28
2054,215,50,28
2055,216,250,28
2056,217,250,28
4001,411,100,41
4002,412,100,42
4003,413,100,43
4004,414,100,44
