变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,sortValue,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,0,<cn>
ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,起始VIP等级,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,显示排序小的在前,语言区域
1001,,{21261=1},{coin15=120000},2,30,,,,<200;200>,,,,1,<cn>
1011,,{23151=3},{coin15=75000},2,24,,,,<200;200>,,,,2,<cn>
1021,,{502=1},{coin15=75000},2,16,,,,<200;200>,,,,3,<cn>
1031,,{21941=3},{coin15=60000},2,18,,,,<200;200>,,,,4,<cn>
1041,,{28504=1},{coin15=50000},2,24,,,,<200;200>,,,,5,<cn>
1051,,{21951=3},{coin15=60000},2,18,,,,<200;200>,,,,6,<cn>
1061,,{talent_point=1},{coin15=75000},2,24,,,,<200;200>,,,,7,<cn>
1071,,{28505=1},{coin15=180000},2,60,,,,<200;200>,,,,8,<cn>
1081,,{529=500},{coin15=90000},2,24,,,,<200;200>,,,,11,<cn>
1091,,{514=60},{coin15=20000},2,48,,,,<200;200>,,,,13,<cn>
1101,,{514=15},{coin15=5000},10,12,,,,<200;200>,,,,14,<cn>
1111,,{15=10},{coin15=15000},2,24,,,,<200;200>,,,,15,<cn>
1121,,{15=2},{coin15=3000},12,4,,,,<200;200>,,,,16,<cn>
1131,,{111=100},{coin15=20000},3,8,,,,<200;200>,,,,10,<cn>
1141,,{112=20},{coin15=30000},3,8,,,,<200;200>,,,,12,<cn>
1151,,{5000=20},{coin15=20000},2,12,,,,<200;200>,,,,17,<cn>
2001,,{22351=1},{coin15=48000},2,36,,,,,,,,1,<cn;en;kr;tw;en_us;en_eu>
2011,,{20861=3},{coin15=24000},3,24,,,,,,,,2,<cn;en;kr;tw;en_us;en_eu>
2021,,{23251=3},{coin15=24000},3,24,,,,,,,,3,<cn;en;kr;tw;en_us;en_eu>
2031,,{23161=3},{coin15=30000},3,30,,,,,,,,4,<cn;en;kr;tw;en_us;en_eu>
2041,,{23171=3},{coin15=30000},3,30,,,,,,,,5,<cn;en;kr;tw;en_us;en_eu>
2051,,{23181=3},{coin15=30000},3,30,,,,,,,,6,<cn;en;kr;tw;en_us;en_eu>
2054,,{24031=3},{coin15=30000},3,30,,,,,,,,7,<cn;en;kr;tw;en_us;en_eu>
2062,,{6050=1},{coin15=600000},1,336,,,,,,,,7,<cn;en;kr;tw;en_us;en_eu>
2071,,{59002=2},{coin15=20000},2,16,,,,,,,,8,<cn;en;kr;tw;en_us;en_eu>
2081,,{59003=1},{coin15=50000},2,72,,,,,,,,9,<cn;en;kr;tw;en_us;en_eu>
2091,,{902=5},{coin15=9000},5,24,,,,,,,,10,<cn;en;kr;tw;en_us;en_eu>
2095,,{124=2},{coin15=9000},2,48,,,,,,,,11,<cn;en;kr;tw;en_us;en_eu>
2096,,{123=2},{coin15=3000},5,12,,,,,,,,12,<cn;en;kr;tw;en_us;en_eu>
2101,,{514=30},{coin15=9000},2,48,,,,,,,,13,<cn;en;kr;tw;en_us;en_eu>
2111,,{514=10},{coin15=3000},10,12,,,,,,,,14,<cn;en;kr;tw;en_us;en_eu>
2121,,{15=10},{coin15=9000},2,24,,,,,,,,15,<cn;en;kr;tw;en_us;en_eu>
2131,,{15=2},{coin15=3000},12,4,,,,,,,,16,<cn;en;kr;tw;en_us;en_eu>
2141,,{870=20},{coin15=9000},2,18,,,,,,,,17,<cn;en;kr;tw;en_us;en_eu>
2151,,{930=20},{coin15=9000},2,18,,,,,,,,18,<cn;en;kr;tw;en_us;en_eu>
