变量名,fpEnd,fpStart,daysRange
默认值,0,0,<>
ID,fpEnd,fpStart,daysRange
1,1980000,1856250,<1;50>
2,1980000,1856250,<50;54>
3,1980000,1856250,<54;58>
4,2103750,1980000,<58;62>
5,2227500,2103750,<62;66>
6,2351250,2227500,<66;70>
7,2475000,2351250,<70;74>
8,2598750,2475000,<74;78>
9,2722500,2598750,<78;82>
10,2846250,2722500,<82;86>
11,2970000,2846250,<86;90>
12,3093750,2970000,<90;94>
13,3217500,3093750,<94;98>
14,3341250,3217500,<98;102>
15,3465000,3341250,<102;106>
16,3588750,3465000,<106;110>
17,3712500,3588750,<110;114>
18,3836250,3712500,<114;118>
19,3960000,3836250,<118;122>
20,4083750,3960000,<122;126>
21,4207500,4083750,<126;130>
22,4331250,4207500,<130;134>
23,4455000,4331250,<134;138>
24,4578750,4455000,<138;142>
25,4702500,4578750,<142;146>
26,4826250,4702500,<146;150>
27,4950000,4826250,<150;154>
28,5073750,4950000,<154;158>
29,5197500,5073750,<158;162>
30,5321250,5197500,<162;166>
31,5445000,5321250,<166;170>
32,5568750,5445000,<170;174>
33,5692500,5568750,<174;178>
34,5816250,5692500,<178;182>
35,5940000,5816250,<182;186>
36,6063750,5940000,<186;200>
37,6187500,6063750,<200;500>
38,6311250,6187500,<500;1500>
