变量名,unitID,name,name_tw,name_en,name_vn,name_kr,group,weight,speed,stamina,staminaCost,staminaRecovery,sprintRandom,sprintInterval,sprintMultiple,sprintTime
默认值,0,"""""","""""","""""","""""","""""",0,100,50,100.1,10.5,10.5,10,2,1.5,1
ID,选手ID,选手名称,选手名称,选手名称,选手名称,选手名称,选手组,选手随机权重,初始速度(1s),体力,体力每0.1秒消耗,体力每0.1秒回复,冲刺概率（0-100）,冲刺每0.1秒随机一次,冲刺影响速度倍数,冲刺维持时长(多少个0.1s)
,,,,,,,,,,,,,,,,
1,721,Articuno,Articuno,Articuno,Articuno,Articuno,1,,500,150,1.5,1,38,12,,18
2,741,Moltres,Moltres,Moltres,Moltres,Moltres,1,,560,145,1.5,1,35,14,,16
3,731,Zapdos,Zapdos,Zapdos,Zapdos,Zapdos,1,,590,140,1.5,1,32,15,,15
4,753,Dragonite,Dragonite,Dragonite,Dragonite,Dragonite,1,,630,135,1.5,1,30,16,,14
5,1893,Salamence,Salamence,Salamence,Salamence,Salamence,2,,500,150,1.5,1,38,12,,18
6,863,Togekiss,Togekiss,Togekiss,Togekiss,Togekiss,2,,560,145,1.5,1,35,14,,16
7,1951,Latios,Latios,Latios,Latios,Latios,2,,590,140,1.5,1,32,15,,15
8,1941,Latias,Latias,Latias,Latias,Latias,2,,630,135,1.5,1,30,16,,14
9,2401,Cresselia,Cresselia,Cresselia,Cresselia,Cresselia,3,,425,150,1.5,1,38,12,,18
10,1395,Gardevoir,Gardevoir,Gardevoir,Gardevoir,Gardevoir,3,,481,145,1.5,1,35,14,,16
11,2843,Gothitelle,Gothitelle,Gothitelle,Gothitelle,Gothitelle,3,,502,140,1.5,1,32,15,,15
12,2993,Chandelure,Chandelure,Chandelure,Chandelure,Chandelure,3,,536,135,1.5,1,30,16,,14
13,1261,Lugia,Lugia,Lugia,Lugia,Lugia,4,,598,150,1.5,1,38,12,,18
14,1271,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,4,,672,145,1.5,1,35,14,,16
15,1961,Kyogre,Kyogre,Kyogre,Kyogre,Kyogre,4,,708,140,1.5,1,32,15,,15
16,1971,Groudon,Groudon,Groudon,Groudon,Groudon,4,,756,135,1.5,1,30,16,,14
17,242,Arcanine,Arcanine,Arcanine,Arcanine,Arcanine,5,,500,150,1.5,1,38,12,,18
18,1171,Houndour,Houndour,Houndour,Houndour,Houndour,5,,560,145,1.5,1,35,14,,16
19,1841,Absol,Absol,Absol,Absol,Absol,5,,590,140,1.5,1,32,15,,15
20,2242,Lucario,Lucario,Lucario,Lucario,Lucario,5,,630,135,1.5,1,30,16,,14
21,23,Blastoise,Blastoise,Blastoise,Blastoise,Blastoise,6,,425,150,1.5,1,38,12,,18
22,641,Lapras,Lapras,Lapras,Lapras,Lapras,6,,481,145,1.5,1,35,14,,16
23,2033,Empoleon,Empoleon,Empoleon,Empoleon,Empoleon,6,,502,140,1.5,1,32,15,,15
24,803,Feraligatr,Feraligatr,Feraligatr,Feraligatr,Feraligatr,6,,536,135,1.5,1,30,16,,14
25,1313,Swampert,Swampert,Swampert,Swampert,Swampert,7,,425,150,1.5,1,38,12,,18
