变量名,sort,text,activeNum,groupType,award
默认值,0,"""""",0,0,{}
ID,排序,显示文本,激活数量,符组类型,奖励道具
101,1,秘境领地中激活秘符%d个,10,1,{coin17=100;rmb=100;gold=300000}
102,2,秘境领地中激活秘符%d个,30,1,{coin17=100;rmb=100;gold=300000}
103,3,秘境领地中激活秘符%d个,50,1,{coin17=100;rmb=100;gold=300000}
201,1,梦境世界中激活秘符%d个,10,2,{coin17=100;rmb=100;gold=300000}
202,2,梦境世界中激活秘符%d个,30,2,{coin17=100;rmb=100;gold=300000}
203,3,梦境世界中激活秘符%d个,50,2,{coin17=100;rmb=100;gold=300000}
301,1,神秘力量中激活秘符%d个,10,3,{coin17=100;rmb=100;gold=300000}
302,2,神秘力量中激活秘符%d个,30,3,{coin17=100;rmb=100;gold=300000}
303,3,神秘力量中激活秘符%d个,50,3,{coin17=100;rmb=100;gold=300000}
401,1,自然之力中激活秘符%d个,10,4,{coin17=100;rmb=100;gold=300000}
402,2,自然之力中激活秘符%d个,30,4,{coin17=100;rmb=100;gold=300000}
403,3,自然之力中激活秘符%d个,50,4,{coin17=100;rmb=100;gold=300000}
501,1,山南海北中激活秘符%d个,10,5,{coin17=100;rmb=100;gold=300000}
502,2,山南海北中激活秘符%d个,30,5,{coin17=100;rmb=100;gold=300000}
503,3,山南海北中激活秘符%d个,50,5,{coin17=100;rmb=100;gold=300000}
