变量名,key,_beizhu,val,service
默认值,"""""",,20,""""""
ID,默认值,备注,默认值,默认值
1,groupSize,,,crossfishing
2,servOpenDays,,40,crossfishing
3,groupSize,,5,huodongboss
4,serverReserve,,8,huodongboss
5,groupSize,,,crossunionqa
6,servOpenDays,,30,crossunionqa
7,groupSize,,10,crossredpacket
8,groupSize,,,skyscraper
9,groupSize,,50,bravechallengeranking
10,groupSize,,50,normalbravechallengeranking
11,groupSize,,,horseraceranking
12,groupSize,,,volleyballranking
13,groupSize,,,shavediceranking
14,groupSize,,50,battlebetranking
15,groupSize,,50,contestbetranking
16,groupSize,,,elementcrushranking
17,groupSize,,,crosstownparty
18,groupSize,,50,worldcupranking
19,groupSize,,,spritejumpranking
20,groupSize,,15,crossmimicry
21,subGroupSize,,100,crossmimicry
22,servOpenDays,拟态开服天数检查,1,crossmimicry
23,rankingRequiredOpenDays,,160,crossmimicry
24,groupSize,跨服卡牌对决,120,crossautochess
25,groupSize,跨服无尽以太,100,crosshellrandomtower
26,servOpenDays,跨服锦标赛,1,crosssupremacy
