变量名,weatherDetail,contestEndTime,betEndTime,rightTeam,leftTeam,contestDate,betID,weatherSkillIDs,weatherID,__version
默认值,"""""",1800,1800,0,0,1,1,<>,<>,
ID,weatherDetail,contestEndTime,betEndTime,rightTeam,leftTeam,contestDate,betID,weatherSkillIDs,weatherID,__version
1,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 5 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1401,1400,2,1,,,,<1;3>,
2,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 5 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1501,1500,4,3,,2,,<1;3>,
3,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 5 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1601,1600,6,5,,3,,<1;3>,
4,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 5 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1701,1700,8,7,,4,,<1;3>,
5,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 5 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1801,,10,9,,5,,<1;3>,
6,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1401,1400,12,11,2,6,,<>,
7,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1501,1500,14,13,2,7,,<>,
8,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1601,1600,16,15,2,8,,<>,
