变量名,advanceEnd,advanceStart,fightEnd,fightStart,level,speedC,specialDefenceC,specialDamageC,defenceC,damageC,hpC,skillLevel,starEnd,starStart
默认值,0,0,0,0,0,1,1.3,1.3,1.3,1.3,1.1,0,0,0
ID,advanceEnd,advanceStart,fightEnd,fightStart,level,speedC,specialDefenceC,specialDamageC,defenceC,damageC,hpC,skillLevel,starEnd,starStart
1,4,3,15000,1,50,,,,,,,50,4,3
2,4,3,20000,15000,50,,,,,,,50,4,3
3,4,3,25000,20000,50,,,,,,,50,4,3
4,4,3,30000,25000,50,,,,,,,50,4,3
5,4,3,35000,30000,50,,,,,,,50,4,3
6,5,4,40000,35000,50,,,,,,,50,5,4
7,5,4,45000,40000,50,,,,,,,50,5,4
8,5,4,50000,45000,50,,,,,,,50,5,4
9,5,4,55000,50000,50,,,,,,,50,5,4
10,5,4,60000,55000,50,,,,,,,50,5,4
11,6,5,65000,60000,50,,,,,,,50,5,4
12,6,5,70000,65000,50,,,,,,,50,5,4
13,6,5,75000,70000,50,,,,,,,50,5,4
14,6,5,80000,75000,50,,,,,,,50,5,4
15,6,5,85000,80000,50,,,,,,,50,5,4
16,7,6,90000,85000,50,,,,,,,50,6,5
17,7,6,95000,90000,50,,,,,,,50,6,5
18,7,6,100000,95000,50,,,,,,,50,6,5
19,7,6,105000,100000,50,,,,,,,50,6,5
20,7,6,110000,105000,50,,,,,,,50,6,5
21,8,7,115000,110000,50,,,,,,,50,6,5
22,8,7,120000,115000,50,,,,,,,50,6,5
23,8,7,125000,120000,50,,,,,,,50,6,5
24,8,7,130000,125000,50,,,,,,,50,6,5
25,8,7,135000,130000,50,,,,,,,50,6,5
26,9,8,140000,135000,50,,,,,,,50,7,6
27,9,8,145000,140000,50,,,,,,,50,7,6
28,9,8,150000,145000,50,,,,,,,50,7,6
29,9,8,155000,150000,50,,,,,,,50,7,6
30,9,8,160000,155000,50,,,,,,,50,7,6
31,10,9,180000,160000,51,,,,,,,51,7,6
32,10,9,200000,180000,52,,,,,,,52,7,6
33,10,9,220000,200000,53,,,,,,,53,7,6
34,10,9,240000,220000,54,,,,,,,54,7,6
35,10,9,260000,240000,55,,,,,,,55,7,6
36,11,10,280000,260000,56,,,,,,,56,8,7
37,11,10,300000,280000,57,,,,,,,57,8,7
38,11,10,320000,300000,58,,,,,,,58,8,7
39,11,10,340000,320000,59,,,,,,,59,8,7
40,11,10,360000,340000,60,,,,,,,60,8,7
41,12,11,380000,360000,61,,,,,,,61,8,7
42,12,11,400000,380000,62,,,,,,,62,8,7
43,12,11,420000,400000,63,,,,,,,63,8,7
44,12,11,440000,420000,64,,,,,,,64,8,7
45,12,11,460000,440000,65,,,,,,,65,8,7
46,13,12,480000,460000,66,,,,,,,66,9,8
47,13,12,500000,480000,67,,,,,,,67,9,8
48,13,12,520000,500000,68,,,,,,,68,9,8
49,13,12,540000,520000,69,,,,,,,69,9,8
50,13,12,560000,540000,70,,,,,,,70,9,8
51,14,13,580000,560000,71,,,,,,,71,9,8
52,14,13,600000,580000,72,,,,,,,72,9,8
53,14,13,620000,600000,73,,,,,,,73,9,8
54,14,13,640000,620000,74,,,,,,,74,9,8
55,14,13,660000,640000,75,,,,,,,75,9,8
56,15,14,680000,660000,76,,,,,,,76,10,9
57,15,14,700000,680000,77,,,,,,,77,10,9
58,15,14,720000,700000,78,,,,,,,78,10,9
59,15,14,740000,720000,79,,,,,,,79,10,9
60,15,14,760000,740000,80,,,,,,,80,10,9
61,16,15,780000,760000,81,,,,,,,81,10,9
62,16,15,800000,780000,82,,,,,,,82,10,9
63,16,15,820000,800000,83,,,,,,,83,10,9
64,16,15,840000,820000,84,,,,,,,84,10,9
65,16,15,860000,840000,85,,,,,,,85,10,9
66,17,16,880000,860000,86,,,,,,,86,11,10
67,17,16,900000,880000,87,,,,,,,87,11,10
68,17,16,920000,900000,88,,,,,,,88,11,10
69,17,16,940000,920000,89,,,,,,,89,11,10
70,17,16,960000,940000,90,,,,,,,90,11,10
71,18,17,980000,960000,91,,,,,,,91,11,10
72,18,17,1000000,980000,92,,,,,,,92,11,10
73,18,17,1020000,1000000,93,,,,,,,93,11,10
74,18,17,1040000,1020000,94,,,,,,,94,11,10
75,18,17,1060000,1040000,95,,,,,,,95,11,10
76,19,18,1080000,1060000,96,,,,,,,96,12,11
77,19,18,1100000,1080000,97,,,,,,,97,12,11
78,19,18,1120000,1100000,98,,,,,,,98,12,11
79,19,18,1140000,1120000,99,,,,,,,99,12,11
80,19,18,1160000,1140000,100,,,,,,,100,12,11
81,20,19,1200000,1160000,101,,,,,,,101,12,11
82,20,19,1250000,1200000,102,,,,,,,102,12,11
83,20,19,1300000,1250000,103,,,,,,,103,12,11
84,20,19,1350000,1300000,104,,,,,,,104,12,11
85,20,19,1400000,1350000,105,,,,,,,105,12,11
86,20,19,1450000,1400000,106,,,,,,,106,12,11
87,20,19,1500000,1450000,107,,,,,,,107,12,11
88,20,19,1550000,1500000,108,,,,,,,108,12,11
89,20,19,1600000,1550000,109,,,,,,,109,12,11
