变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<cn>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
101,快龙碎片,{20751=2},{coin10=2200},,,,,,<150;150>,,,,<cn;en;tw;kr>
,巨金怪碎片,{21901=2},{coin10=1500},,,,,,<150;150>,,,,<cn;en;tw;kr>
103,索罗亚碎片,{22821=2},{coin10=1500},,,,,,<150;150>,,,,<cn;en;tw;kr>
104,雪童子碎片,{21851=2},{coin10=600},,,,,,<150;150>,,,,<cn;en;tw;kr>
105,摔角鹰人碎片,{23511=2},{coin10=600},,,,,,<150;150>,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
111,快龙碎片,{20751=2},{coin10=2200},,,,,,<1;150>,,,,<cn;en;tw;kr>
112,急冻鸟碎片,{20721=2},{coin10=1500},,,,,,<1;150>,,,,<cn;en;tw;kr>
113,索罗亚碎片,{22821=2},{coin10=1500},,,,,,<1;150>,,,,<cn;en;tw;kr>
114,黑眼鳄碎片,{22721=2},{coin10=1500},,,,,,<1;150>,,,,<cn;en;tw;kr>
115,嗡蝠碎片,{23591=2},{coin10=1500},,,,,,<1;150>,,,,<cn>
,,,,,,,,,,,,,
131,雪童子碎片,{21851=2},{coin10=600},,,,,,<1;150>,,,,<cn;en;tw;kr>
132,摔角鹰人碎片,{23511=2},{coin10=600},,,,,,<1;150>,,,,<cn;en;tw;kr>
133,螺钉地鼠碎片,{22611=2},{coin10=600},,,,,,<1;150>,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,宝贝龙碎片,{21891=2},{coin11=1200},,,,,,,,,,<cn;en;tw;kr>
,幼基拉斯碎片,{21251=2},{coin11=1200},,,,,,,,,,<cn;en;tw;kr>
,小猫怪碎片,{22071=2},{coin11=720},,,,,,,,,,<cn;en;tw;kr>
,冰雪龙碎片,{23501=2},{coin11=720},,,,,,,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
600,经验药水,{15=1},{coin10=200},,,,,,,,,,<cn;en;tw;kr>
610,金币,{514=15},{coin10=500},,,,,,,,,,<cn;en;tw;kr>
620,能量药剂,{5000=20},{coin10=1000},,,,,,,,,,<cn;en;tw;kr>
630,蓝色潜能石,{850=50},{coin10=500},,,,,,,,,,<cn;en;tw;kr>
640,紫色潜能石,{851=20},{coin10=300},,,,,,,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
1001,芽衣,{2222=1},{coin10=20000},,,,,,<1;150>,4,1,,<cn;en;tw;kr>
