变量名,attrNum4,attrType4,attrNum3,attrType3,attrNum2,exp,attrType2,attrNum1,attrType1,natureType,level,awakeSeqID,zawakeID,attrAddType,viceHeldItem,skillID,attrNum5,attrType5,costItemMap,extraScene,extraAttrs,nvalue,activeReq,__version
默认值,"""""",0,"""""",0,"""""",0,0,"""""",0,0,0,0,0,1,FALSE,0,"""""",0,{},<>,{},{},{},
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,__version
101101,116,9,166,8,166,50,7,835,1,,1,1,1,,,,116,10,{50001=3;59001=3;gold=100000},,,,,
101102,117,9,168,8,168,50,7,843,1,,2,1,1,,,,117,10,{50001=3;59001=3;gold=120000},,,,,
101103,118,9,169,8,169,50,7,852,1,,3,1,1,,,,118,10,{50001=4;59001=4;gold=140000},,,,,
101104,119,9,171,8,171,50,7,860,1,,4,1,1,,,,119,10,{50001=4;59001=4;gold=160000},<0>,{1=3%},,,
101105,121,9,173,8,173,50,7,868,1,,5,1,1,,,,121,10,{50001=5;59001=5;gold=180000},,,,,
101106,122,9,174,8,174,50,7,877,1,,6,1,1,,,,122,10,{50001=5;59001=5;gold=200000},,,,,
101107,123,9,176,8,176,50,7,885,1,,7,1,1,,,,123,10,{50001=6;59001=6;gold=220000},,,,,
101108,124,9,178,8,178,50,7,893,1,,8,1,1,,,,124,10,{501=1;50001=6;59001=6;gold=240000},<0>,{24=300;25=300},,,
101201,128,9,183,8,183,60,7,919,1,,1,2,1,,,,128,10,{50001=5;59001=5;gold=150000},,,,,
101202,129,9,184,8,184,60,7,928,1,,2,2,1,,,,129,10,{50001=5;59001=5;gold=180000},,,,,
101203,130,9,186,8,186,60,7,937,1,,3,2,1,,,,130,10,{50001=6;59001=6;gold=210000},,,,,
101204,131,9,188,8,188,60,7,946,1,,4,2,1,,,,131,10,{50001=6;59001=6;gold=240000},<0>,{7=3%;8=3%},,,
101205,133,9,190,8,190,60,7,955,1,,5,2,1,,,,133,10,{50001=7;59001=7;gold=270000},,,,,
101206,134,9,192,8,192,60,7,964,1,,6,2,1,,,,134,10,{50001=7;59001=7;gold=300000},,,,,
101207,135,9,194,8,194,60,7,974,1,,7,2,1,,,,135,10,{501=1;50001=8;59001=8;gold=330000},,,,,
