变量名,zawakeID,level,awakeSeqID,costItemMap,__version
默认值,0,0,0,{},
ID,z觉醒id,觉醒等级,觉醒阶段ID,觉醒消耗,__version
102101,2,1,1,{50001=8;59002=6;gold=530000},
102102,2,2,1,{50001=8;59002=6;gold=620000},
102103,2,3,1,{50001=10;59002=7;gold=720000},
102104,2,4,1,{50001=10;59002=7;gold=810000},
102105,2,5,1,{50001=12;59002=8;gold=930000},
102106,2,6,1,{50001=12;59002=8;gold=1020000},
102107,2,7,1,{501=1;50001=14;59002=9;gold=1130000},
102108,2,8,1,{501=1;50001=14;59002=9;gold=1220000},
102201,2,1,2,{50001=12;59002=8;gold=800000},
102202,2,2,2,{50001=12;59002=8;gold=930000},
102203,2,3,2,{50001=14;59002=9;gold=1080000},
102204,2,4,2,{50001=14;59002=9;gold=1220000},
102205,2,5,2,{501=1;50001=16;59002=10;gold=1400000},
102206,2,6,2,{501=1;50001=16;59002=10;gold=1530000},
102207,2,7,2,{501=1;50001=18;59002=11;gold=1700000},
102208,2,8,2,{501=1;50001=18;59002=11;gold=1830000},
102301,2,1,3,{50001=14;59002=9;gold=1200000},
102302,2,2,3,{50001=14;59002=9;gold=1400000},
102303,2,3,3,{501=1;50001=16;59002=10;gold=1620000},
102304,2,4,3,{501=1;50001=16;59002=10;gold=1830000},
102305,2,5,3,{501=1;50001=18;59002=11;gold=2100000},
102306,2,6,3,{501=1;50001=18;59002=11;gold=2300000},
102307,2,7,3,{501=1;50001=20;59002=12;gold=2550000},
102308,2,8,3,{220=1;501=1;50001=20;59002=12;gold=2750000},
102401,2,1,4,{50001=18;59002=11;gold=1800000},
102402,2,2,4,{50001=18;59002=11;gold=2100000},
102403,2,3,4,{501=1;50001=20;59002=12;gold=2430000},
102404,2,4,4,{501=1;50001=20;59002=12;gold=2750000},
102405,2,5,4,{501=2;50001=22;59002=13;gold=3150000},
102406,2,6,4,{501=2;50001=22;59002=13;gold=3450000},
102407,2,7,4,{230=1;501=2;50001=24;59002=14;gold=3830000},
102408,2,8,4,{501=2;2152=1;50001=24;59002=14;gold=4130000},
102501,2,1,5,{502=2;50001=20;59002=12;gold=2700000},
102502,2,2,5,{502=2;50001=20;59002=12;gold=3150000},
102503,2,3,5,{501=1;502=2;50001=22;59002=13;gold=3650000},
102504,2,4,5,{501=2;502=2;50001=22;59002=13;gold=4130000},
102505,2,5,5,{501=2;502=2;50001=24;59002=14;gold=4730000},
102506,2,6,5,{501=2;502=3;50001=24;59002=14;gold=5180000},
102507,2,7,5,{501=2;502=3;50001=26;59002=15;gold=5750000},
102508,2,8,5,{200=1;210=1;50001=26;59002=15;gold=6200000},
102601,2,1,6,{502=2;50001=22;59002=13;gold=4050000},
102602,2,2,6,{502=2;50001=22;59002=13;gold=4730000},
102603,2,3,6,{501=2;502=3;50001=24;59002=14;gold=5480000},
102604,2,4,6,{501=2;502=3;50001=24;59002=14;gold=6200000},
102605,2,5,6,{501=3;502=3;50001=26;59002=15;gold=7100000},
102606,2,6,6,{501=3;502=3;50001=26;59002=15;gold=7770000},
102607,2,7,6,{501=3;502=4;2152=1;50001=28;59002=16;gold=8630000},
102608,2,8,6,{501=3;502=4;2152=1;50001=28;59002=16;gold=9300000},
102701,2,1,7,{50001=24;59002=14;gold=6080000},
102702,2,2,7,{50001=24;59002=14;gold=7100000},
102703,2,3,7,{50001=26;59002=15;gold=8220000},
102704,2,4,7,{50001=26;59002=15;gold=9300000},
102705,2,5,7,{50001=28;59002=16;gold=10650000},
102706,2,6,7,{50001=28;59002=16;gold=11660000},
102707,2,7,7,{50001=30;59002=17;gold=12950000},
102708,2,8,7,{50001=30;59002=17;gold=13950000},
102801,2,1,8,{50001=26;59002=15;gold=9120000},
102802,2,2,8,{50001=26;59002=15;gold=10650000},
102803,2,3,8,{50001=28;59002=16;gold=12330000},
102804,2,4,8,{50001=28;59002=16;gold=13950000},
102805,2,5,8,{50001=30;59002=17;gold=15980000},
102806,2,6,8,{50001=30;59002=17;gold=17490000},
102807,2,7,8,{50001=32;59002=18;gold=19430000},
102808,2,8,8,{50001=32;59002=18;gold=20930000},
112101,12,1,1,{50011=8;59002=6;gold=530000},
112102,12,2,1,{50011=8;59002=6;gold=620000},
112103,12,3,1,{50011=10;59002=7;gold=720000},
112104,12,4,1,{50011=10;59002=7;gold=810000},
112105,12,5,1,{50011=12;59002=8;gold=930000},
112106,12,6,1,{50011=12;59002=8;gold=1020000},
112107,12,7,1,{501=1;50011=14;59002=9;gold=1130000},
112108,12,8,1,{501=1;50011=14;59002=9;gold=1220000},
112201,12,1,2,{50011=12;59002=8;gold=800000},
112202,12,2,2,{50011=12;59002=8;gold=930000},
112203,12,3,2,{50011=14;59002=9;gold=1080000},
112204,12,4,2,{50011=14;59002=9;gold=1220000},
112205,12,5,2,{501=1;50011=16;59002=10;gold=1400000},
112206,12,6,2,{501=1;50011=16;59002=10;gold=1530000},
112207,12,7,2,{501=1;50011=18;59002=11;gold=1700000},
112208,12,8,2,{501=1;50011=18;59002=11;gold=1830000},
112301,12,1,3,{50011=14;59002=9;gold=1200000},
112302,12,2,3,{50011=14;59002=9;gold=1400000},
112303,12,3,3,{501=1;50011=16;59002=10;gold=1620000},
112304,12,4,3,{501=1;50011=16;59002=10;gold=1830000},
112305,12,5,3,{501=1;50011=18;59002=11;gold=2100000},
112306,12,6,3,{501=1;50011=18;59002=11;gold=2300000},
112307,12,7,3,{501=1;50011=20;59002=12;gold=2550000},
112308,12,8,3,{223=1;501=1;50011=20;59002=12;gold=2750000},
112401,12,1,4,{50011=18;59002=11;gold=1800000},
112402,12,2,4,{50011=18;59002=11;gold=2100000},
112403,12,3,4,{501=1;50011=20;59002=12;gold=2430000},
112404,12,4,4,{501=1;50011=20;59002=12;gold=2750000},
112405,12,5,4,{501=2;50011=22;59002=13;gold=3150000},
112406,12,6,4,{501=2;50011=22;59002=13;gold=3450000},
112407,12,7,4,{233=1;501=2;50011=24;59002=14;gold=3830000},
112408,12,8,4,{501=2;2152=1;50011=24;59002=14;gold=4130000},
112501,12,1,5,{502=2;50011=20;59002=12;gold=2700000},
112502,12,2,5,{502=2;50011=20;59002=12;gold=3150000},
112503,12,3,5,{501=1;502=2;50011=22;59002=13;gold=3650000},
112504,12,4,5,{501=2;502=2;50011=22;59002=13;gold=4130000},
112505,12,5,5,{501=2;502=2;50011=24;59002=14;gold=4730000},
112506,12,6,5,{501=2;502=3;50011=24;59002=14;gold=5180000},
112507,12,7,5,{501=2;502=3;50011=26;59002=15;gold=5750000},
