变量名,exp,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6,__version
默认值,0,0,"""""",0,"""""",0,"""""",0,"""""",0,"""""",0,"""""",
ID,升至行对应等级经验值,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,属性类型4,属性数值4,属性类型5,属性数值5,属性类型6,属性数值6,__version
1,1600,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%,
2,3200,92,100,93,100,,,,,,,,,
3,3200,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%,
4,6400,92,100,93,100,,,,,,,,,
5,6400,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%,
6,6400,92,100,93,100,,,,,,,,,
7,9600,1,1.50%,13,1.50%,7,1.50%,8,1.50%,9,1.50%,10,1.50%,
8,9600,92,150,93,150,,,,,,,,,
9,9600,1,1.50%,13,1.50%,7,1.50%,8,1.50%,9,1.50%,10,1.50%,
10,12800,92,150,93,150,,,,,,,,,
11,12800,1,1.50%,13,1.50%,7,1.50%,8,1.50%,9,1.50%,10,1.50%,
12,12800,92,150,93,150,,,,,,,,,
13,16000,1,1.50%,13,1.50%,7,1.50%,8,1.50%,9,1.50%,10,1.50%,
14,16000,92,150,93,150,,,,,,,,,
15,16000,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%,
16,16000,92,200,93,200,,,,,,,,,
17,19200,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%,
18,19200,92,200,93,200,,,,,,,,,
19,19200,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%,
20,19200,92,200,93,200,,,,,,,,,
21,22400,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%,
22,22400,92,200,93,200,,,,,,,,,
23,22400,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%,
24,22400,92,200,93,200,,,,,,,,,
25,25600,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%,
26,25600,92,200,93,200,,,,,,,,,
27,25600,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%,
28,25600,92,200,93,200,,,,,,,,,
29,25600,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%,
30,28800,92,200,93,200,,,,,,,,,
31,28800,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%,
32,28800,92,300,93,300,,,,,,,,,
33,28800,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%,
34,28800,92,300,93,300,,,,,,,,,
35,32000,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%,
36,32000,92,300,93,300,,,,,,,,,
37,32000,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%,
38,32000,92,300,93,300,,,,,,,,,
39,32000,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%,
40,35200,92,300,93,300,,,,,,,,,
41,35200,1,4%,13,4%,7,4%,8,4%,9,4%,10,4%,
42,35200,92,400,93,400,,,,,,,,,
43,35200,1,4%,13,4%,7,4%,8,4%,9,4%,10,4%,
44,35200,92,400,93,400,,,,,,,,,
45,38400,1,4%,13,4%,7,4%,8,4%,9,4%,10,4%,
46,38400,92,400,93,400,,,,,,,,,
47,38400,1,4%,13,4%,7,4%,8,4%,9,4%,10,4%,
48,38400,92,400,93,400,,,,,,,,,
49,38400,1,4%,13,4%,7,4%,8,4%,9,4%,10,4%,
50,44800,92,400,93,400,,,,,,,,,
51,44800,1,5%,13,5%,7,5%,8,5%,9,5%,10,5%,
52,44800,92,500,93,500,,,,,,,,,
53,44800,1,5%,13,5%,7,5%,8,5%,9,5%,10,5%,
54,44800,92,500,93,500,,,,,,,,,
55,51200,1,5%,13,5%,7,5%,8,5%,9,5%,10,5%,
56,51200,92,500,93,500,,,,,,,,,
57,51200,1,5%,13,5%,7,5%,8,5%,9,5%,10,5%,
58,51200,92,500,93,500,,,,,,,,,
59,51200,1,5%,13,5%,7,5%,8,5%,9,5%,10,5%,
60,57600,92,500,93,500,,,,,,,,,
