变量名,weight,linkageID,libID,recastWeight
默认值,0,0,0,<>
ID,随机权重,印记ID,印记库ID(对应emera.linkageLib),重铸权重<<等级下限;等级上限;权重>>
1,100,1,3,<<0;10;500>;<11;20;500>;<21;30;500>;<31;999999;500>>
2,100,101,3,<<0;10;500>;<11;20;500>;<21;30;500>;<31;999999;500>>
3,100,201,3,<<0;10;500>;<11;20;500>;<21;30;500>;<31;999999;500>>
101,500,1,4,<<0;10;500>;<11;20;500>;<21;30;500>;<31;999999;200>>
102,500,101,4,<<0;10;500>;<11;20;500>;<21;30;500>;<31;999999;200>>
103,500,201,4,<<0;10;500>;<11;20;500>;<21;30;500>;<31;999999;200>>
104,50,2,4,<<0;10;70>;<11;20;90>;<21;30;110>;<31;999999;130>>
105,50,3,4,<<0;10;70>;<11;20;90>;<21;30;110>;<31;999999;130>>
106,50,102,4,<<0;10;70>;<11;20;90>;<21;30;110>;<31;999999;130>>
107,50,103,4,<<0;10;70>;<11;20;90>;<21;30;110>;<31;999999;130>>
108,50,202,4,<<0;10;70>;<11;20;90>;<21;30;110>;<31;999999;130>>
109,50,203,4,<<0;10;70>;<11;20;90>;<21;30;110>;<31;999999;130>>
201,300,1,5,<<0;10;300>;<11;20;300>;<21;30;300>;<31;999999;300>>
202,300,101,5,<<0;10;300>;<11;20;300>;<21;30;300>;<31;999999;300>>
203,300,201,5,<<0;10;300>;<11;20;300>;<21;30;300>;<31;999999;300>>
204,120,2,5,<<0;10;70>;<11;20;90>;<21;30;110>;<31;999999;130>>
205,120,3,5,<<0;10;70>;<11;20;90>;<21;30;110>;<31;999999;130>>
206,120,102,5,<<0;10;70>;<11;20;90>;<21;30;110>;<31;999999;130>>
207,120,103,5,<<0;10;70>;<11;20;90>;<21;30;110>;<31;999999;130>>
208,120,202,5,<<0;10;70>;<11;20;90>;<21;30;110>;<31;999999;130>>
209,120,203,5,<<0;10;70>;<11;20;90>;<21;30;110>;<31;999999;130>>
301,300,1,6,<<0;10;400>;<11;20;400>;<21;30;400>;<31;999999;400>>
302,300,101,6,<<0;10;400>;<11;20;400>;<21;30;400>;<31;999999;400>>
303,300,201,6,<<0;10;400>;<11;20;400>;<21;30;400>;<31;999999;400>>
304,300,2,6,<<0;10;110>;<11;20;120>;<21;30;130>;<31;999999;140>>
305,300,3,6,<<0;10;110>;<11;20;120>;<21;30;130>;<31;999999;140>>
306,300,102,6,<<0;10;110>;<11;20;120>;<21;30;130>;<31;999999;140>>
307,300,103,6,<<0;10;110>;<11;20;120>;<21;30;130>;<31;999999;140>>
308,300,202,6,<<0;10;110>;<11;20;120>;<21;30;130>;<31;999999;140>>
309,300,203,6,<<0;10;110>;<11;20;120>;<21;30;130>;<31;999999;140>>
310,80,4,6,<<0;10;50>;<11;20;60>;<21;30;70>;<31;999999;80>>
311,80,5,6,<<0;10;50>;<11;20;60>;<21;30;70>;<31;999999;80>>
312,80,104,6,<<0;10;50>;<11;20;60>;<21;30;70>;<31;999999;80>>
313,80,105,6,<<0;10;50>;<11;20;60>;<21;30;70>;<31;999999;80>>
314,80,204,6,<<0;10;50>;<11;20;60>;<21;30;70>;<31;999999;80>>
315,80,205,6,<<0;10;50>;<11;20;60>;<21;30;70>;<31;999999;80>>
401,300,2,7,<<0;10;160>;<11;20;170>;<21;30;180>;<31;999999;190>>
402,300,3,7,<<0;10;160>;<11;20;170>;<21;30;180>;<31;999999;190>>
403,300,102,7,<<0;10;160>;<11;20;170>;<21;30;180>;<31;999999;190>>
404,300,103,7,<<0;10;160>;<11;20;170>;<21;30;180>;<31;999999;190>>
405,300,202,7,<<0;10;160>;<11;20;170>;<21;30;180>;<31;999999;190>>
406,300,203,7,<<0;10;160>;<11;20;170>;<21;30;180>;<31;999999;190>>
407,80,4,7,<<0;10;70>;<11;20;80>;<21;30;90>;<31;999999;100>>
408,80,5,7,<<0;10;70>;<11;20;80>;<21;30;90>;<31;999999;100>>
409,80,104,7,<<0;10;70>;<11;20;80>;<21;30;90>;<31;999999;100>>
410,80,105,7,<<0;10;70>;<11;20;80>;<21;30;90>;<31;999999;100>>
411,80,204,7,<<0;10;70>;<11;20;80>;<21;30;90>;<31;999999;100>>
412,80,205,7,<<0;10;70>;<11;20;80>;<21;30;90>;<31;999999;100>>
