变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6
默认值,{},{},{},{},{},{}
ID(等级),强化序列1消耗,强化序列2消耗,强化序列3消耗,强化序列4消耗,强化序列5消耗,强化序列6消耗
1,{135=30;gold=15000},{135=45;gold=22500},{135=45;gold=22500},{135=105;gold=52500},{135=150;gold=75000},{135=300;gold=150000}
2,{135=33;gold=16500},{135=50;gold=25000},{135=50;gold=25000},{135=116;gold=58000},{135=165;gold=82500},{135=330;gold=165000}
3,{135=36;gold=18000},{135=55;gold=27500},{135=54;gold=27000},{135=126;gold=63000},{135=180;gold=90000},{135=360;gold=180000}
4,{135=39;gold=19500},{135=60;gold=30000},{135=59;gold=29500},{135=137;gold=68500},{135=195;gold=97500},{135=390;gold=195000}
5,{135=42;gold=21000},{135=65;gold=32500},{135=63;gold=31500},{135=147;gold=73500},{135=210;gold=105000},{135=420;gold=210000}
6,{135=45;gold=22500},{135=70;gold=35000},{135=68;gold=34000},{135=158;gold=79000},{135=225;gold=112500},{135=450;gold=225000}
7,{135=48;gold=24000},{135=70;gold=35000},{135=72;gold=36000},{135=168;gold=84000},{135=240;gold=120000},{135=480;gold=240000}
8,{135=51;gold=25500},{135=75;gold=37500},{135=77;gold=38500},{135=179;gold=89500},{135=255;gold=127500},{135=510;gold=255000}
9,{135=54;gold=27000},{135=80;gold=40000},{135=81;gold=40500},{135=189;gold=94500},{135=270;gold=135000},{135=540;gold=270000}
10,{135=57;gold=28500},{135=85;gold=42500},{135=86;gold=43000},{135=200;gold=100000},{135=285;gold=142500},{135=570;gold=285000}
11,{135=60;gold=30000},{135=90;gold=45000},{135=90;gold=45000},{135=210;gold=105000},{135=300;gold=150000},{135=600;gold=300000}
12,{135=63;gold=31500},{135=95;gold=47500},{135=95;gold=47500},{135=221;gold=110500},{135=315;gold=157500},{135=630;gold=315000}
13,{135=66;gold=33000},{135=100;gold=50000},{135=99;gold=49500},{135=231;gold=115500},{135=330;gold=165000},{135=660;gold=330000}
14,{135=69;gold=34500},{135=105;gold=52500},{135=104;gold=52000},{135=242;gold=121000},{135=345;gold=172500},{135=690;gold=345000}
15,{135=72;gold=36000},{135=110;gold=55000},{135=108;gold=54000},{135=252;gold=126000},{135=360;gold=180000},{135=720;gold=360000}
16,{135=75;gold=37500},{135=115;gold=57500},{135=113;gold=56500},{135=263;gold=131500},{135=375;gold=187500},{135=750;gold=375000}
17,{135=78;gold=39000},{135=115;gold=57500},{135=117;gold=58500},{135=273;gold=136500},{135=390;gold=195000},{135=780;gold=390000}
18,{135=81;gold=40500},{135=120;gold=60000},{135=122;gold=61000},{135=284;gold=142000},{135=405;gold=202500},{135=810;gold=405000}
19,{135=84;gold=42000},{135=125;gold=62500},{135=126;gold=63000},{135=294;gold=147000},{135=420;gold=210000},{135=840;gold=420000}
20,{135=87;gold=43500},{135=130;gold=65000},{135=131;gold=65500},{135=305;gold=152500},{135=435;gold=217500},{135=870;gold=435000}
21,{135=90;gold=45000},{135=135;gold=67500},{135=135;gold=67500},{135=315;gold=157500},{135=450;gold=225000},{135=900;gold=450000}
22,{135=93;gold=46500},{135=140;gold=70000},{135=140;gold=70000},{135=326;gold=163000},{135=465;gold=232500},{135=930;gold=465000}
23,{135=96;gold=48000},{135=145;gold=72500},{135=144;gold=72000},{135=336;gold=168000},{135=480;gold=240000},{135=960;gold=480000}
24,{135=99;gold=49500},{135=150;gold=75000},{135=149;gold=74500},{135=347;gold=173500},{135=495;gold=247500},{135=990;gold=495000}
25,{135=102;gold=51000},{135=155;gold=77500},{135=153;gold=76500},{135=357;gold=178500},{135=510;gold=255000},{135=1020;gold=510000}
26,{135=105;gold=52500},{135=160;gold=80000},{135=158;gold=79000},{135=368;gold=184000},{135=525;gold=262500},{135=1050;gold=525000}
27,{135=108;gold=54000},{135=160;gold=80000},{135=162;gold=81000},{135=378;gold=189000},{135=540;gold=270000},{135=1080;gold=540000}
28,{135=111;gold=55500},{135=165;gold=82500},{135=167;gold=83500},{135=389;gold=194500},{135=555;gold=277500},{135=1110;gold=555000}
29,{135=114;gold=57000},{135=170;gold=85000},{135=171;gold=85500},{135=399;gold=199500},{135=570;gold=285000},{135=1140;gold=570000}
30,{135=117;gold=58500},{135=175;gold=87500},{135=176;gold=88000},{135=410;gold=205000},{135=585;gold=292500},{135=1170;gold=585000}
31,{135=120;gold=60000},{135=180;gold=90000},{135=180;gold=90000},{135=420;gold=210000},{135=600;gold=300000},{135=1200;gold=600000}
32,{135=123;gold=61500},{135=185;gold=92500},{135=185;gold=92500},{135=431;gold=215500},{135=615;gold=307500},{135=1230;gold=615000}
33,{135=126;gold=63000},{135=190;gold=95000},{135=189;gold=94500},{135=441;gold=220500},{135=630;gold=315000},{135=1260;gold=630000}
34,{135=129;gold=64500},{135=195;gold=97500},{135=194;gold=97000},{135=452;gold=226000},{135=645;gold=322500},{135=1290;gold=645000}
35,{135=132;gold=66000},{135=200;gold=100000},{135=198;gold=99000},{135=462;gold=231000},{135=660;gold=330000},{135=1320;gold=660000}
36,{135=135;gold=67500},{135=205;gold=102500},{135=203;gold=101500},{135=473;gold=236500},{135=675;gold=337500},{135=1350;gold=675000}
37,{135=138;gold=69000},{135=205;gold=102500},{135=207;gold=103500},{135=483;gold=241500},{135=690;gold=345000},{135=1380;gold=690000}
38,{135=141;gold=70500},{135=210;gold=105000},{135=212;gold=106000},{135=494;gold=247000},{135=705;gold=352500},{135=1410;gold=705000}
39,{135=144;gold=72000},{135=215;gold=107500},{135=216;gold=108000},{135=504;gold=252000},{135=720;gold=360000},{135=1440;gold=720000}
40,{135=147;gold=73500},{135=220;gold=110000},{135=221;gold=110500},{135=515;gold=257500},{135=735;gold=367500},{135=1470;gold=735000}
41,{135=150;gold=75000},{135=225;gold=112500},{135=225;gold=112500},{135=525;gold=262500},{135=750;gold=375000},{135=1500;gold=750000}
42,{135=153;gold=76500},{135=230;gold=115000},{135=230;gold=115000},{135=536;gold=268000},{135=765;gold=382500},{135=1530;gold=765000}
43,{135=156;gold=78000},{135=235;gold=117500},{135=234;gold=117000},{135=546;gold=273000},{135=780;gold=390000},{135=1560;gold=780000}
44,{135=159;gold=79500},{135=240;gold=120000},{135=239;gold=119500},{135=557;gold=278500},{135=795;gold=397500},{135=1590;gold=795000}
45,{135=162;gold=81000},{135=245;gold=122500},{135=243;gold=121500},{135=567;gold=283500},{135=810;gold=405000},{135=1620;gold=810000}
46,{135=165;gold=82500},{135=250;gold=125000},{135=248;gold=124000},{135=578;gold=289000},{135=825;gold=412500},{135=1650;gold=825000}
47,{135=168;gold=84000},{135=250;gold=125000},{135=252;gold=126000},{135=588;gold=294000},{135=840;gold=420000},{135=1680;gold=840000}
48,{135=171;gold=85500},{135=255;gold=127500},{135=257;gold=128500},{135=599;gold=299500},{135=855;gold=427500},{135=1710;gold=855000}
49,{135=174;gold=87000},{135=260;gold=130000},{135=261;gold=130500},{135=609;gold=304500},{135=870;gold=435000},{135=1740;gold=870000}
50,{135=177;gold=88500},{135=265;gold=132500},{135=266;gold=133000},{135=620;gold=310000},{135=885;gold=442500},{135=1770;gold=885000}
