变量名,_beizhu,attrType1,attrFix1,attrType2,attrFix2,attrType3,attrFix3,attrType4,attrFix4,attrType5,attrFix5,attrType6,attrFix6
默认值,,1,1,7,1,8,1,9,1,10,1,13,1
ID,备注,修正属性类型1,修正属性数值1,修正属性类型2,修正属性数值2,属性类型3,修正属性数值3,属性类型4,修正属性数值4,属性类型5,修正属性数值5,属性类型5,修正属性数值5
761,超梦,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
1261,洛奇亚,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
1271,凤王,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
1281,时拉比,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
1961,盖欧卡,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
1971,固拉多,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
1972,原始固拉多,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
1981,裂空座,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
1982,超级裂空座,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
1991,基拉祈,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
2351,帝牙卢卡,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
2361,帕路奇亚,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
2381,雷吉奇卡斯,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
2391,骑拉帝纳,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
2431,达克莱伊,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
2441,谢米,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
2442,谢米·天空,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3211,莱希拉姆,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3221,捷克罗姆,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3241,酋雷姆,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3261,美洛耶塔·歌声,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3262,美洛耶塔·舞步,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3271,盖诺赛克特,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
3601,哲尔尼亚斯,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
3611,伊裴尔塔尔,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
3631,蒂安希,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3641,惩戒胡帕,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3642,解放胡帕,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
4161,捷拉奥拉,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
4171,美录坦,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
4172,美录梅塔,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
