变量名,_name,figure,expertise,expertise_tw,expertise_en,expertise_vn,expertise_kr,desc,desc_tw,desc_en,desc_vn,desc_kr
默认值,"""""",1,"""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,名字备注，role_figure里配去,人物形象,专长,专长,专长,专长,专长,介绍,介绍,介绍,介绍,介绍
,,,,,,,,,,,,
1,阿蜜,201,"""铜墙铁壁的女孩""阿蜜是一个非常害羞但富有同情心的女孩，她很少说话，有时她的道馆一个人都没有，如果进去与她说话，她甚至会吓得叫出来。出人意料的是她饭量很大，会经常光顾浅葱食堂吃饭。","""銅牆鐵壁的女孩""阿蜜是一個非常害羞但富有同情心的女孩，她很少說話，有時她的道館一個人都沒有，如果進去與她說話，她甚至會嚇得叫出來。出人意料的是她飯量很大，會經常光顧淺蔥食堂吃飯。","""The Steel-Clad Defense Girl"" Jasmine is a shy but compassionate girl. She rarely speaks. Sometimes there is no one in her Gym, if you goes in and talks to her, she will even scream out in fright. Surprisingly she eats alot, she often goes to Olivine canteen.",404,??' ??? ??? ?? ??? ??? ???? ?? ????. ?? ?? ??? ??? ??? ?? ??? ??? ?? ??? ?? ?? ???? ??? ??? ????? ??. ??? ???? ??? ? ??? ?? ??? ?? ????.,“叮！钢属性！…你了解吗？它非常的坚硬，冰冷，锋利，而且非常强壮！…嗯…我不是在说谎。”\n“钢铁之心到最后也不会放弃！”\n“因为经过淬火锻造的钢铁是不会生锈的！”,“叮！鋼屬性！…你瞭解嗎？它非常的堅硬，冰冷，鋒利，而且非常強壯！…嗯…我不是在說謊。”\n“鋼鐵之心到最後也不會放棄！”\n“因為經過淬火鍛造的鋼鐵是不會生銹的！”,"""Ding! Steel-Type! Do you know about it? It's very hard, cold, sharp and very strong! Emmmm. I'm not kidding.\n""Heart of Steel will never give up till the end!""\n""Because steel that has been quenched and forged will not rust!""",404,"""?! ?? ??!…??? ?? ???? ???? ??! ?… ?? ???? ?? ? ???.”\n“??? ??? ??? ???? ???!”\n“???? ???? ??? ?? ????!"""
2,阿速,202,"""华丽的飞行精灵训练家""阿速以又酷又帅的形象闻名遐迩，但与他的父亲比就相形见绌了。或许正因为这样，阿速才立志要成为最伟大的飞行属性精灵大师。","""華麗的飛行精靈訓練家""阿速以又酷又帥的形象聞名遐邇，但與他的父親比就相形見絀了。或許正因為這樣，阿速才立志要成為最偉大的飛行屬性精靈大師。","""The Elegant Master of Flying Pokémon"" Falkner is famous for his cool and handsome image, but pales in comparison with his father. Perhaps because of this, Falkner is determined to become the greatest master of Flying-Type Pokémons.",404,??? ?? ??? ???' ???? ??? ?? ???? ????? ?? ????? ??? ?? ???. ????? ???? ?? ??? ?? ??? ??? ???? ???? ??? ?? ??.,“志向高远，就能飞到任何地方。”\n“华丽翱翔在天空中的鸟宝可梦真正的力量，我会让你领教的！…爸爸！在天上看着我的战斗吧！”\n“……”\n“我没叫你……”,“志向高遠，就能飛到任何地方。”\n“華麗翱翔在天空中的鳥寶可夢真正的力量，我會讓你領教的！…爸爸！在天上看著我的戰鬥吧！”\n“……”\n“我沒叫你……”,"""If you have high ambitions, you can fly anywhere.""\n""The true power of the gorgeous bird Pokémon soaring in the sky, I will let you understand it! …dad! Watch my battle in the sky!""\n“……”\n""I didn't call you...""",404,"""?? ?? ??? ??? ? ??.""\n""???? ???? ????? ???? ??? ?, ?? ?????!… ??! ???? ?? ??? ?????!”\n“……”\n“? ? ????…"""
3,玛绣,203,"""从历史之国来的少女""，曾是模特，现职业为服装设计师，她有着想变成精灵的幻想，自己身上穿的蝴蝶般衣服也是为了能感受到精灵的心情才穿的。(注:衣服有15公斤重，价值和200个巨大金珠相当)","""從歷史之國來的少女""，曾是模特，現職業為服裝設計師，她有著想變成精靈的幻想，自己身上穿的蝴蝶般衣服也是為了能感受到精靈的心情才穿的。(注:衣服有15公斤重，價值和200個巨大金珠相當)","""The maiden from a land with history"", used to be a model,Currently working as a costume designer, she has the illusion that she wants to become an Pokémon, and the butterfly-like clothes she wears are also worn to feel the mood of becoming Pokémon. P.S.: Cloth weigh 15 kilograms and worth s much as 200 huge gold beads",404,"??? '??? ???? ? ??', ?? ???? ?? ?? ????? ?? ?? ?? ???? ?? ??? ??? ?? ???, ??? ?? ?? ?? ?? ???? ??? ?? ? ?? ?? ?? ???. (PS: ?? 15kg??, ??? 200?? ????? ????.)",“在梦里我是一只蝴蝶宝可梦呢，还是说，这儿才是一场梦呢……”\n“如果你变成了宝可梦，不知道会是怎样的宝可梦呐～”\n“应该会是一只能给大家带来笑容的可爱宝可梦吧！”,“在夢裡我是一隻蝴蝶寶可夢呢，還是說，這兒才是一場夢呢……”\n“如果你變成了寶可夢，不知道會是怎樣的寶可夢呐～”\n“應該會是一只能給大家帶來笑容的可愛寶可夢吧！”,"""In my dream, I am a butterfly Pokémon, or is this a dream...""\n""If you become a Pokémon, I don’t know what kind of Pokémon it will be~""\n""Maybe a cute Pokémon that can bring smiles to everyone!""",404,"""???? ?? ?? ?????, ??? ??? ???…""\n""?? ???? ??? ?? ???? ?? ????~""\n""?????? ??? ?? ??? ???? ? ? ??!"""
4,青绿,204,大木博士的孙子。自尊心很强，对自己的实力有着绝对的自信，目标是成为最优秀的训练家。,大木博士的孫子。自尊心很強，對自己的實力有著絕對的自信，目標是成為最優秀的訓練家。,"Grandson of Dr.Oak.He has strong self-esteem, has absolute confidence in his own strength, and his goal is to become the best trainer.",404,???? ??. ???? ??? ?? ??? ???? ???? ?? ??? ??? ???? ?? ?? ???.,“火箭队老大？早就被我打败了！”\n“自从收服了固拉多，你知道这意味着什么吗？”\n“住口，你才不会飞！”\n“好了！让我来告诉你！本大爷！世界最强！比任何人都强！”,“火箭隊老大？早就被我打敗了！”\n“自從收服了固拉多，你知道這意味著什麼嗎？”\n“住口，你才不會飛！”\n“好了！讓我來告訴你！本大爺！世界最強！比任何人都強！”,"""The boss of Team Rocket? I've defeated him long ago!""\n""Since captured Groudon, do you know what this means?""\n""Stop, you don't know how to fly!""\n""Okay! Let me tell you! I am the best in the world! Better than anyone!""",404,"""??? ??? ?? ??? ???!""\n""???? ??? ??? ?? ?? ???? ???""\n""? ??, ???? ? ? ??!""\n""??! ?? ????! ??! ?? ????! ???? ??!"""
5,松叶,205,"""千里眼修验者""松叶热衷于传说的精灵，在缘朱市修行是想要一睹彩虹宝可梦凤王的风姿。通过修行他拥有了千里眼，能够看到其他人看不到的东西。","""千里眼修驗者""松葉熱衷於傳說的精靈，在緣朱市修行是想要一睹彩虹寶可夢鳳王的風姿。通過修行他擁有了千里眼，能夠看到其他人看不到的東西。","""The Mystic Seer of the Future"" Morty is keen on Legendary Pokémons, he practice in Ecruteak Gym is for a glimpse of Rainbow Pokémon Ho-oh. Through practice, he has clairvoyance and can see things that other people can't see.",404,?? '??? ???'? ?? ??? ??? ???? ???? ?????? ???? ?? ??? ??? ???? ??? ??? ????. ??? ?? ???? ?? ??? ??? ? ? ?? ?? ? ? ??.,“即使没办法到达自己所相信的未来……”\n“我的未来也不会跟着消失。”\n“在看见新的未来之前，我会继续修行的。”\n“话说……似乎有人觉得缘朱道馆有些可怕，要不要在入口装饰一些花呢？”,“即使沒辦法到達自己所相信的未來……”\n“我的未來也不會跟著消失。”\n“在看見新的未來之前，我會繼續修行的。”\n“話說……似乎有人覺得緣朱道館有些可怕，要不要在入口裝飾一些花呢？”,"""Even if there is no way to reach the future I believe in...""\n""My future will not disappear.""\n""Before I see a new future, I will continue to practice.""\n""It seems that some people think Ecruteak Gym is a bit scary. Maybe decorate with some flowers at the entrance?""",404,"""?? ?? ??? ??? ?????…""\n""? ??? ???? ???.""\n""??? ??? ? ??? ?? ?????.""\n""????… ?? ???? ???? ???? ???? ?? ? ??? ???? ?????? ???"""
6,夏伯,206,在红莲研究所工作的高智商老人，性格开朗，爱开玩笑和猜谜，曾经在登山时遇难，被飞来照亮了昏暗山路的火焰鸟所救，这便成了他作为火属性训练家的契机。,在紅蓮研究所工作的高智商老人，性格開朗，愛開玩笑和猜謎，曾經在登山時遇難，被飛來照亮了昏暗山路的火焰鳥所救，這便成了他作為火屬性訓練家的契機。,"An old man with a high IQ who works in the Cinnabar Lab, has an outgoing personality and loves to joke and puzzle. Once in danger while climbing, he was rescued by Moltres flying to illuminate the dim mountain road. This became his opportunity as a Fire-Type trainer.",404,"?? ????? ??? ??? ?? ??? ??? ??? ??? ???, ?? ? ??? ?? ??? ??? ?? ??? ????? ??? ?? ?? ?? ?????? ??? ???.",“嘿~~！年轻人，请听题：烈焰猴喜欢捉鱼还是捕鸟？”\n“答案是捕鸟！因为他就叫「猎燕」猴啊！啊哈哈哈！”\n“嗯？你说我的头顶很耀眼？没礼貌！我这是聪明绝顶！”\n“龟仙人？那又是什么宝可梦？”,“嘿~~！年輕人，請聽題：烈焰猴喜歡捉魚還是捕鳥？”\n“答案是捕鳥！因為他就叫「獵燕」猴啊！啊哈哈哈！”\n“嗯？你說我的頭頂很耀眼？沒禮貌！我這是聰明絕頂！”\n“龜仙人？那又是什麼寶可夢？”,"""Hey! Young man, listen: What does Ash say when he wants to date someone?""\n""The answer is: I choose you.Hahahaha!""\n""Huh? You said my head is dazzling? That's rude! It's a symbol of being smart!""\n""MasterRoshi? What Pokémon is that?""",404,"""?~~! ??, ?? ????: ???? ?????? ?????? ??? ???? ??????""\n""??? ????! ????!""\n""?? ? ???? ?????? ????! ?? ??????!""\n""?? ??? ?? ? ?? ??????"""
7,夏卡,207,双龙市的市长，胡子形似龙的下颚，每天坚持与宝可梦摔跤来锻炼身体。曾参加过各种精灵训练师比赛，登入名人堂之后，便开始了自己的技艺传授之路。,雙龍市的市長，鬍子形似龍的下顎，每天堅持與寶可夢摔跤來鍛煉身體。曾參加過各種精靈訓練師比賽，登入名人堂之後，便開始了自己的技藝傳授之路。,"Mayor of Opelucid City, with a beard like toothy lower jaw of a reptile, wrestling with Pokémon every day to exercise.Having participated in various Pokémon trainer competitions, and after enter the Hall of Fame, he began his own way of teaching skills.",404,"????? ??, ??? ?? ???? ???, ?? ???? ???? ?? ???? ?? ??? ??? ??? ??? ?? ???. ??? ??? ??? ? ??? ??? ???? ????.",“越是老！越是渴求胜利！这才是生命的能量！超越昨天的力量！”\n“我寻求着能让我看到光明未来的年轻训练家。”\n“感谢与你相遇，和你战斗的命运。”\n“你不仅要创造自己的未来，还要为他人带去光明的未来。”\n,“越是老！越是渴求勝利！這才是生命的能量！超越昨天的力量！”\n“我尋求著能讓我看到光明未來的年輕訓練家。”\n“感謝與你相遇，和你戰鬥的命運。”\n“你不僅要創造自己的未來，還要為他人帶去光明的未來。”\n,"""The older you are! The more you are thirsty for victory! This is the energy of life! Power beyond yesterday!""\n""I am looking for young trainers who can see a bright future for me.""\n""Thank you for meeting you and fighting with you.""\n""You must not only create your own future, but also bring a bright future for others.""\n",404,"""????! ??? ????! ?????? ??? ????! ??? ?? ??!""\n""?? ?? ??? ??? ? ?? ?? ???? ?? ??.""\n""??? ?? ??? ??? ????.""\n""??? ??? ??? ??? ?? ??? ?? ??? ?? ?? ??? ???? ??.""\n"
